fleet_seed,arm,rsu,executed_tasks,admitted_work_ms_per_rsu,admitted_work_share_per_rsu,mean_post_batch_workload_ms_per_rsu,p95_post_batch_workload_ms_per_rsu,maximum_post_batch_workload_ms_per_rsu,service_utilisation_per_rsu
2,common_target,4,5712,91179.44386839867,0.014984160754867285,8.442541098925803,38.49013481140137,108.85574340820312,0.008442541098925803
2,common_target,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2,common_target,6,0,0.0,0.0,0.0,0.0,0.0,0.0
2,common_target,7,0,0.0,0.0,0.0,0.0,0.0,0.0
2,common_target,8,0,0.0,0.0,0.0,0.0,0.0,0.0
3,per_task,0,43782,707598.8727145195,0.1111336755504411,65.51841414683395,105.2974250793457,163.76382446289062,0.06551841414683394
3,per_task,1,43736,707278.8224029541,0.1110834092641921,65.48877985718073,105.89459609985352,169.08724975585938,0.06548877985718074
3,per_task,2,43756,706539.6287379265,0.11096731339108398,65.42033596542146,106.5614189147949,151.71922302246094,0.06542033596542146
3,per_task,3,44034,708592.3211734295,0.11128970403347845,65.61040011211678,106.22747154235837,160.66033935546875,0.06561040011211677
3,per_task,4,44009,707867.4064536095,0.11117585077511306,65.54327833204357,105.96183166503906,148.62574768066406,0.06554327833204358
3,per_task,5,43993,707784.7238459587,0.11116286485548169,65.53562255960924,106.58175659179688,154.9047393798828,0.06553562255960924
3,per_task,6,44040,708056.7670948505,0.11120559127481874,65.56081180027238,106.10273208618162,154.8037872314453,0.06556081180027237
3,per_task,7,44034,703445.5836400986,0.11048137055355324,65.13385035062278,105.44270706176756,156.0505828857422,0.06513385035062277
3,per_task,8,43618,709932.6986372471,0.11150022030183764,65.73450905612222,106.58848800659176,159.65548706054688,0.06573450905612221
3,ingress,0,80060,1579964.0445899963,0.2692582125108285,146.29296705252594,293.02543792724606,524.2425537109375,0.14629296705252595
3,ingress,1,39706,679807.8425097466,0.11585317093245459,62.9451705900828,167.3293128967285,480.128662109375,0.06294517059008281
3,ingress,2,44664,770194.1897480488,0.1312568545644349,71.31427681914083,182.4967231750488,429.44927978515625,0.07131427681914082
3,ingress,3,36133,612925.9990024567,0.10445513583547548,56.75240728243634,158.01983337402334,385.8343200683594,0.056752407282436336
3,ingress,4,20233,332369.3319737911,0.05664253723185504,30.77493815413228,113.39452667236326,318.3104553222656,0.030774938154132278
3,ingress,5,15368,250550.0706899166,0.04269886040092473,23.19908063352108,96.98513946533191,288.3072204589844,0.02319908063352108
